Time;EMG1;EMG2;EMG3;EMG4;
8982;-33,9708;-8,389801;-28,75323;1,590907;
8999;-36,2325;-5,344381;-64,60728;-48,67064;
9016;-35,04214;-4,989575;-45,50882;-164,1635;
9035;-30,2249;-3,961119;-16,49492;11,99977;
9052;-33,96715;-8,388736;-1,708379;-45,55495;
9071;-34,51202;-3,237342;-27,87589;56,56097;
9088;-34,71347;-9,553172;-26,91949;-28,13039;
9106;-35,26378;-5,916891;-24,61072;-64,89957;
9125;-34,89074;-5,571133;-27,41711;-20,61957;
9140;-34,89074;-5,571133;-27,41711;-20,61957;
9158;-34,51486;-9,250026;-1,608251;-124,9598;
9176;-34,16648;-6,926239;-3,203831;-45,53094;
9194;-33,40524;-9,021775;-43,2957;-60,98451;
9211;-34,54906;-7,867675;-18,53591;-44,72723;
9230;48,90501;-8,773803;-32,54704;-46,05101;
9248;-36,32222;-8,030874;-32,05843;-26,52662;
9266;-35,79323;-8,477122;-12,41074;-43,26289;
9284;-33,90039;-12,24873;-24,17447;-37,31494;
9303;-33,90039;-12,24873;-24,17447;-37,31494;
9320;-36,82873;-5,896955;-24,23967;-37,20492;
9339;-35,26109;-3,197065;-27,23879;-51,56312;
9356;-34,06356;-9,046037;-28,90522;-31,35679;
9375;-33,7051;-6,51227;-32,51699;-41,73618;
9394;-34,72928;-4,163724;-37,21444;-34,97898;
9412;-36,95036;-4,925251;-26,59225;-36,8205;
9429;-31,80745;-3,579113;-25,3697;-39,33893;
